fEleEle1_r2	fEleEle1_r1	fAciRut3_r	fArcCen1_r	kPetMar1_r	fParRan2_r	fAnaTes1_d	fAnaTes1_r	fCycLum1_r	fDenClu1_r	fEsoLuc1_r	fSebUmb1_r	fHipHip1_r	fMegCyp1_r	fAntMac1_r1	fAntMac1_r2	fAntMac1_d	aBufBuf1_r1	aBufBuf1_r2	aRanTem1_r	aRanTem1_dr	aDenEbr1_r1	aDenEbr1_r2	rGopFla2_r	rDerCor1_r	rGopEvg1_r	rLacAgi1_dr	mZalCal1_r	mTriVul1_r1	mTriVul1_r2	mMusErm1_r	mPipPip1_r2	mLynCan4_r2	mLynCan4_r1	mTamTet1_r	mLutLut1_r	mOrnAna1_r	mLemCat1_r2	mLemCat1_r1	mMyoMyo1_r2	mMyoMyo1_r1	mRhiFer1_r1	mPhyDis1_r	mPipKuh1_r2	mPipKuh1_r1	mPipPip1_r1	bCarCri1_dr	bFalRus1_r	bBalReg1_d	bBalReg1_r	bCatUst1_d	bAcaChl1_d	bFalNau1_r1	bFalNau1_r2	bSteHir1_d	bMerNub1_rd	bStrHab1_r	bMelUnd1_d	bCucCan1_r	bAquChr1_r	bPogPus1_rd	bCicMag1_dr	bAlcTor1_d	bPluApr1_r	bPluApr1_d	bCalAnn1_d	bNycGra1_rd	bHemCom1_d
				-16	-10	30		1		-8		56	-116	-22	290	-3			46	-1460	62	138		-8			-20	-33	-6	18	-93	8	-12	0	-2	6	-1	-21	-5	10	88	-10	-65	5	75							42	4			-108			-62	-118	375	-65	254	779	-409	-6	1985
					-16	18		16		66		-6	-103	395	65	-7			28	-333	125	139		-9			43	6	8	12	52	3	-17	-6	139	66	7	7	-10	-244	-21	25	-9	-18	10							69	5			34			-114	98	187	-9	293	196	19	-329	182
					-17	-5		73		42		0	-127	-16	-57	-11			52	-234	9	132		-4			-35	38	0	5	-9	2	87	-3	-2	7	-5	-30	18	-16	-13	41	-26	3	-9							36	10			20			98	116	694	66	-129	99	134	248	-33
					-12			53		-24		-20	-91	259	-144	-17			12	-412	192	55		-3			-23	-1	-3	11	-23	10	226	26	3	83	3	13	-3	66	-3	-53	0	-11	-10							26	-13			-28			-149	132	245	-54	155	154	-103	-623	58
					10			20		147		-6	-163	57	-51	2			14	156	107	-31		1			-24	0	-60	4	0	-8	66	-2	-8	24	30	-61	-20	75	31	24	-6	7	-46							12	20			83			192	-49	534	-130	197	160	-125	601	50
					0			-2		44		45	-157	132	10	-5			6	82	18	65		145			-13	3	19	6	-22	0	145	-9	4	21	-2	-27	27	7	-21	-22	-13	-5	-11							-171	35			111			-125	-17	82	-28	-134	224	26	492	211
					13			-27		21		36	168	-7	66	-4			33	-290	128	98					9	0	-30	11	-120	0	-12	-117	1	20	4	-102	10	0	-152	47	13	-18	103							-165	12			-236			46	-19	461	-89	-152	74	-10	-112	-125
					-3			64		39		62	-154	-17	246	-25			8	74	-76	156					-31	-20	-1	7	17	-17	-4		-14	-41	4	-105	8	-14	-148	5	-15	188	-5							-93	38			40			-46	165	266	-77	-179	40	7	-109	-20
					-7			5		42		-7	-125	-24	-52	-8			82	503	-90	168					19	13	65	17	-61	-6	-8		8	-4	-6	-44	16	-6	12	-69	-9	2	133							12	6			-314			-150	225	317	223	-695	96	342	117	159
					-55			-1		40		232	121	336	8	-30			74	-330	-90	121					-23	2	-23	23	0	-8	66		4	-39	2	-44	14	-2	40	4	-21	11	-6							-1	25			12			-162	253	333	-78	-30	211	30	1225	37
								-18		75		132	-162	73	117	0			-2	30	-88	33					-26	-2	23	18	33	2	-5		-6	-35	-1	-55	16	-81	42	-48	-19	181	180							-7	29			15			-47	792	455	21	343	115	40	1183	58
								23		74		52	44	101	207	-3			-22	-136	26	77						-35	-58	44	-24	-1	-7		5	-34	-4	-5	12	-8	5	18	-7	-8	-1							-12	8			53			-364	277	300	-33	31	301	72	190	16
								166		27		39	92	28	249	21			12	-890	-19	120						17	-26	51	3	2	-13		-18	-14	-3	12	-1	-4	21	29	14	249	-9							-110	4			4			-122	1539	359	3	-474	160	262	-353	73
								417		41		219	-32	57	50	13			-35	185	32	68						1		52	33	-8	-7		22	-23	-3	-15	23	4	-1	100	-14	6								42	255			-110			323	61	123	69	864	898	-20	147	294
